INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475612300,47.7321747,10.3484767,47.7321712,10.34846959,0.656869,9167,0.6342,47.73217423,10.34847677,4
475612350,47.7321633,10.348487,47.73215581,10.34848356,0.656606,9168,0.6405,47.73215887,10.34849081,4
475612400,47.7321518,10.3484973,47.73214811,10.34849055,0.645963,9169,0.6384,47.73215116,10.34849777,4
475612450,47.7321404,10.3485077,47.73213272,10.34850453,0.646893,9170,0.6384,47.73213577,10.34851175,4
475612500,47.7321289,10.3485181,47.73212503,10.34851152,0.643958,9171,0.6405,47.73212809,10.34851877,4
475612550,47.7321175,10.3485284,47.73210964,10.34852549,0.64657,9172,0.6258,47.73211263,10.34853257,4
475612600,47.732106,10.3485388,47.73210194,10.34853248,0.639378,9173,0.609,47.73210485,10.34853937,4
475612650,47.7320946,10.3485491,47.73208655,10.34854646,0.635411,9174,0.6153,47.73208949,10.34855342,4
475612700,47.7320831,10.3485595,47.73207886,10.34855344,0.631613,9175,0.6384,47.73208191,10.34856066,4
475612750,47.7320717,10.3485698,47.73206347,10.34856742,0.634451,9176,0.6174,47.73206642,10.34857441,4
475612800,47.7320602,10.3485802,47.73205577,10.34857441,0.627,9177,0.6153,47.73205871,10.34858137,4
475612850,47.7320487,10.3485905,47.73204038,10.34858839,0.614369,9178,0.6195,47.73204334,10.3485954,4
475612900,47.7320373,10.3486009,47.73203268,10.34859537,0.619415,9179,0.6153,47.73203562,10.34860233,4
475612950,47.7320258,10.3486112,47.73201729,10.34860935,0.613354,9180,0.6111,47.73202021,10.34861626,4
475613000,47.7320144,10.3486215,47.7320096,10.34861634,0.605821,9181,0.6153,47.73201254,10.3486233,4
475613050,47.7320029,10.3486319,47.7320019,10.34862332,0.605094,9182,0.6111,47.73200482,10.34863023,4
475613100,47.7319914,10.3486422,47.73198651,10.3486373,0.598484,9183,0.6006,47.73198938,10.3486441,4
475613150,47.7319799,10.3486526,47.73197882,10.34864429,0.592168,9184,0.5943,47.73198166,10.34865101,4
475613200,47.7319685,10.3486629,47.73196342,10.34865826,0.590061,9185,0.5817,47.7319662,10.34866484,4
475613250,47.731957,10.3486733,47.73195573,10.34866525,0.589295,9186,0.5775,47.73195849,10.34867178,4
475613300,47.7319455,10.3486836,47.73194034,10.34867923,0.576837,9187,0.5775,47.7319431,10.34868576,4
475613350,47.731934,10.348694,47.73193264,10.34868621,0.576729,9188,0.5754,47.73193539,10.34869272,4
475613400,47.7319226,10.3487044,47.73191725,10.34870019,0.57618,9189,0.5607,47.73191993,10.34870653,4
475613450,47.7319111,10.3487147,47.73190955,10.34870718,0.56923,9190,0.5649,47.73191225,10.34871357,4
475613500,47.7318996,10.3487251,47.73189416,10.34872115,0.57007,9191,0.5649,47.73189686,10.34872754,4
475613550,47.7318882,10.3487354,47.73188647,10.34872814,0.56442,9192,0.5607,47.73188915,10.34873448,4
