INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475611150, 47.73243770, 10.34823920, 47.73243283, 10.34823197, 0.745614, 9144, 0.739200, 47.73243636, 10.34824033, 4
475611200, 47.73242630, 10.34824950, 47.73241744, 10.34824595, 0.744732, 9145, 0.711900, 47.73242084, 10.34825400, 4
475611250, 47.73241490, 10.34825980, 47.73240975, 10.34825294, 0.735056, 9146, 0.726600, 47.73241322, 10.34826116, 4
475611300, 47.73240340, 10.34827010, 47.73239436, 10.34826692, 0.728897, 9147, 0.701400, 47.73239771, 10.34827486, 4
475611350, 47.73239200, 10.34828040, 47.73238666, 10.34827391, 0.724781, 9148, 0.714000, 47.73239007, 10.34828199, 4
475611400, 47.73238060, 10.34829070, 47.73237127, 10.34828788, 0.720473, 9149, 0.686700, 47.73237455, 10.34829565, 4
475611450, 47.73236920, 10.34830110, 47.73236358, 10.34829487, 0.722238, 9150, 0.709800, 47.73236697, 10.34830290, 4
475611500, 47.73235770, 10.34831140, 47.73235588, 10.34830186, 0.714245, 9151, 0.718200, 47.73235931, 10.34830999, 4
475611550, 47.73234630, 10.34832170, 47.73234049, 10.34831584, 0.712550, 9152, 0.705600, 47.73234386, 10.34832382, 4
475611600, 47.73233490, 10.34833200, 47.73233280, 10.34832283, 0.707145, 9153, 0.711900, 47.73233620, 10.34833088, 4
475611650, 47.73232340, 10.34834240, 47.73231741, 10.34833680, 0.706439, 9154, 0.714000, 47.73232082, 10.34834488, 4
475611700, 47.73231200, 10.34835270, 47.73230971, 10.34834379, 0.701409, 9155, 0.711900, 47.73231311, 10.34835184, 4
475611750, 47.73230060, 10.34836300, 47.73229432, 10.34835777, 0.699178, 9156, 0.705600, 47.73229769, 10.34836575, 4
475611800, 47.73228910, 10.34837330, 47.73228663, 10.34836476, 0.689523, 9157, 0.703500, 47.73228999, 10.34837272, 4
475611850, 47.73227770, 10.34838370, 47.73227124, 10.34837874, 0.692036, 9158, 0.699300, 47.73227458, 10.34838665, 4
475611900, 47.73226630, 10.34839400, 47.73226354, 10.34838572, 0.689414, 9159, 0.695100, 47.73226686, 10.34839358, 4
475611950, 47.73225480, 10.34840430, 47.73224815, 10.34839970, 0.682957, 9160, 0.690900, 47.73225145, 10.34840752, 4
475612000, 47.73224340, 10.34841460, 47.73224046, 10.34840669, 0.675758, 9161, 0.684600, 47.73224373, 10.34841444, 4
